initial_alias,converted_alias,name,description,namespace
4478,MSN,MSN,moesin [Source:HGNC Symbol;Acc:HGNC:7373],ENTREZGENE_ACC
219539,YPEL4,YPEL4,yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328],ENTREZGENE_ACC
116093,None,None,None,
246119,TTTY10,TTTY10,"testis-specific transcript, Y-linked 10 [Source:HGNC Symbol;Acc:HGNC:18491]",ENTREZGENE_ACC
6448,SGSH,SGSH,N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818],ENTREZGENE_ACC
100507660,None,None,None,
284992,CCDC150,CCDC150,coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834],ENTREZGENE_ACC
50836,TAS2R8,TAS2R8,taste 2 receptor member 8 [Source:HGNC Symbol;Acc:HGNC:14915],ENTREZGENE_ACC
7421,VDR,VDR,vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679],ENTREZGENE_ACC
3770,KCNJ14,KCNJ14,potassium inwardly rectifying channel subfamily J member 14 [Source:HGNC Symbol;Acc:HGNC:6260],ENTREZGENE_ACC
55812,SPATA7,SPATA7,spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423],ENTREZGENE_ACC
2617,GARS1,GARS1,glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162],ENTREZGENE_ACC
283212,KLHL35,KLHL35,kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597],ENTREZGENE_ACC
100131434,EOLA1-DT,EOLA1-DT,EOLA1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:44265],ENTREZGENE_ACC
10844,TUBGCP2,TUBGCP2,tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599],ENTREZGENE_ACC
151194,METTL21A,METTL21A,"methyltransferase 21A, HSPA lysine [Source:HGNC Symbol;Acc:HGNC:30476]",ENTREZGENE_ACC
29947,DNMT3L,DNMT3L,DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980],ENTREZGENE_ACC
84203,TXNDC2,TXNDC2,thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470],ENTREZGENE_ACC
28672,None,None,None,
170589,GPHA2,GPHA2,glycoprotein hormone subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:18054],ENTREZGENE_ACC
4233,MET,MET,"MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]",ENTREZGENE_ACC
943,TNFRSF8,TNFRSF8,TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923],ENTREZGENE_ACC
84873,ADGRG7,ADGRG7,adhesion G protein-coupled receptor G7 [Source:HGNC Symbol;Acc:HGNC:19241],ENTREZGENE_ACC
123016,TTC8,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],ENTREZGENE_ACC
144097,SPINDOC,SPINDOC,spindlin interactor and repressor of chromatin binding [Source:HGNC Symbol;Acc:HGNC:25115],ENTREZGENE_ACC
6050,RNH1,RNH1,ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074],ENTREZGENE_ACC
8399,LOC100652777,PLA2G10,phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029],ENTREZGENE_ACC
8399,PLA2G10,PLA2G10,phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029],ENTREZGENE_ACC
23469,PHF3,PHF3,PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921],ENTREZGENE_ACC
171586,ABHD3,ABHD3,"abhydrolase domain containing 3, phospholipase [Source:HGNC Symbol;Acc:HGNC:18718]",ENTREZGENE_ACC
5148,PDE6G,PDE6G,phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789],ENTREZGENE_ACC
55038,CDCA4,CDCA4,cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625],ENTREZGENE_ACC
55655,NLRP2,NLRP2,NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948],ENTREZGENE_ACC
460,ASTN1,ASTN1,astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773],ENTREZGENE_ACC
121053,NOPCHAP1,NOPCHAP1,NOP protein chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28628],ENTREZGENE_ACC
128486,FITM2,FITM2,fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135],ENTREZGENE_ACC
127391,TMCO2,TMCO2,transmembrane and coiled-coil domains 2 [Source:HGNC Symbol;Acc:HGNC:23312],ENTREZGENE_ACC
64425,POLR1E,POLR1E,RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631],ENTREZGENE_ACC
23309,SIN3B,SIN3B,SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354],ENTREZGENE_ACC
10023,FRAT1,FRAT1,FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944],ENTREZGENE_ACC
5837,PYGM,PYGM,"glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]",ENTREZGENE_ACC
26254,OPTC,OPTC,opticin [Source:HGNC Symbol;Acc:HGNC:8158],ENTREZGENE_ACC
10773,ZBTB6,ZBTB6,zinc finger and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16764],ENTREZGENE_ACC
1950,EGF,EGF,epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229],ENTREZGENE_ACC
602,BCL3,BCL3,BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998],ENTREZGENE_ACC
114134,SLC2A13,SLC2A13,solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956],ENTREZGENE_ACC
7402,UTRN,UTRN,utrophin [Source:HGNC Symbol;Acc:HGNC:12635],ENTREZGENE_ACC
4547,MTTP,MTTP,microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467],ENTREZGENE_ACC
65062,TMEM237,TMEM237,transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432],ENTREZGENE_ACC
112487,DTD2,DTD2,D-aminoacyl-tRNA deacylase 2 [Source:HGNC Symbol;Acc:HGNC:20277],ENTREZGENE_ACC
1399,CRKL,CRKL,"CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]",ENTREZGENE_ACC
51706,CYB5R1,CYB5R1,cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397],ENTREZGENE_ACC
9344,TAOK2,TAOK2,TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835],ENTREZGENE_ACC
138307,LCN8,LCN8,lipocalin 8 [Source:HGNC Symbol;Acc:HGNC:27038],ENTREZGENE_ACC
30816,ERVW-1,ERVW-1,"endogenous retrovirus group W member 1, envelope [Source:HGNC Symbol;Acc:HGNC:13525]",ENTREZGENE_ACC
128869,PIGU,PIGU,phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791],ENTREZGENE_ACC
5106,PCK2,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]",ENTREZGENE_ACC
7104,TM4SF4,TM4SF4,transmembrane 4 L six family member 4 [Source:HGNC Symbol;Acc:HGNC:11856],ENTREZGENE_ACC
5264,PHYH,PHYH,phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940],ENTREZGENE_ACC
8972,MGAM,MGAM,maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043],ENTREZGENE_ACC
56172,ANKH,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492],ENTREZGENE_ACC
23185,LARP4B,LARP4B,La ribonucleoprotein 4B [Source:HGNC Symbol;Acc:HGNC:28987],ENTREZGENE_ACC
140856,SCP2D1,SCP2D1,SCP2 sterol binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16211],ENTREZGENE_ACC
7415,VCP,VCP,valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666],ENTREZGENE_ACC
84290,CAPNS2,CAPNS2,calpain small subunit 2 [Source:HGNC Symbol;Acc:HGNC:16371],ENTREZGENE_ACC
25942,SIN3A,SIN3A,SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353],ENTREZGENE_ACC
2152,F3,F3,"coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]",ENTREZGENE_ACC
498,ATP5F1A,ATP5F1A,ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823],ENTREZGENE_ACC
9175,MAP3K13,MAP3K13,mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:HGNC:6852],ENTREZGENE_ACC
29116,MYLIP,MYLIP,myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155],ENTREZGENE_ACC
100506130,None,None,None,
23283,CSTF2T,CSTF2T,cleavage stimulation factor subunit 2 tau variant [Source:HGNC Symbol;Acc:HGNC:17086],ENTREZGENE_ACC
114548,NLRP3,NLRP3,NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400],ENTREZGENE_ACC
84105,PCBD2,PCBD2,pterin-4 alpha-carbinolamine dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:24474],ENTREZGENE_ACC
207107,SFTA1P,SFTA1P,"surfactant associated 1, lncRNA [Source:HGNC Symbol;Acc:HGNC:18383]",ENTREZGENE_ACC
23072,HECW1,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",ENTREZGENE_ACC
8574,AKR7A2,AKR7A2,aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389],ENTREZGENE_ACC
83998,REG4,REG4,regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977],ENTREZGENE_ACC
8433,UTF1,UTF1,undifferentiated embryonic cell transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12634],ENTREZGENE_ACC
582,BBS1,BBS1,Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966],ENTREZGENE_ACC
221079,ARL5B,ARL5B,ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052],ENTREZGENE_ACC
4676,NAP1L4,NAP1L4,nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640],ENTREZGENE_ACC
3386,ICAM4,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347],ENTREZGENE_ACC
54065,LOC102723553,SMIM11,small integral membrane protein 11 [Source:HGNC Symbol;Acc:HGNC:1293],ENTREZGENE_ACC
54065,SMIM11,SMIM11,small integral membrane protein 11 [Source:HGNC Symbol;Acc:HGNC:1293],ENTREZGENE_ACC
60492,CCDC90B,CCDC90B,coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108],ENTREZGENE_ACC
2316,FLNA,FLNA,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],ENTREZGENE_ACC
5009,OTC,OTC,ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512],ENTREZGENE_ACC
92017,SNX29,SNX29,sorting nexin 29 [Source:HGNC Symbol;Acc:HGNC:30542],ENTREZGENE_ACC
80185,TTI2,TTI2,TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262],ENTREZGENE_ACC
113026,PLCD3,PLCD3,phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061],ENTREZGENE_ACC
3214,HOXB4,HOXB4,homeobox B4 [Source:HGNC Symbol;Acc:HGNC:5115],ENTREZGENE_ACC
131873,COL6A6,COL6A6,collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023],ENTREZGENE_ACC
1482,NKX2-5,NKX2-5,NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488],ENTREZGENE_ACC
10395,DLC1,DLC1,DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897],ENTREZGENE_ACC
57636,ARHGAP23,ARHGAP23,Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293],ENTREZGENE_ACC
3068,HDGF,HDGF,heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856],ENTREZGENE_ACC
7031,TFF1,TFF1,trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755],ENTREZGENE_ACC
55532,SLC30A10,SLC30A10,solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355],ENTREZGENE_ACC
3034,HAL,HAL,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806],ENTREZGENE_ACC
3010,H1-6,H1-6,"H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]",ENTREZGENE_ACC
148345,C1orf127,C1orf127,chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730],ENTREZGENE_ACC
26157,GIMAP2,GIMAP2,"GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]",ENTREZGENE_ACC
79590,MRPL24,MRPL24,mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037],ENTREZGENE_ACC
3208,HPCA,HPCA,hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144],ENTREZGENE_ACC
158376,SPAAR,SPAAR,small regulatory polypeptide of amino acid response [Source:HGNC Symbol;Acc:HGNC:27244],ENTREZGENE_ACC
285577,LINC01019,LINC01019,long intergenic non-protein coding RNA 1019 [Source:HGNC Symbol;Acc:HGNC:27742],ENTREZGENE_ACC
148823,GCSAML,GCSAML,germinal center associated signaling and motility like [Source:HGNC Symbol;Acc:HGNC:29583],ENTREZGENE_ACC
147183,KRT25,KRT25,keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839],ENTREZGENE_ACC
148014,TTC9B,TTC9B,tetratricopeptide repeat domain 9B [Source:HGNC Symbol;Acc:HGNC:26395],ENTREZGENE_ACC
56675,NRIP3,NRIP3,nuclear receptor interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1167],ENTREZGENE_ACC
4057,LTF,LTF,lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720],ENTREZGENE_ACC
1123,CHN1,CHN1,chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943],ENTREZGENE_ACC
6683,SPAST,SPAST,spastin [Source:HGNC Symbol;Acc:HGNC:11233],ENTREZGENE_ACC
79742,DIPK2B,DIPK2B,divergent protein kinase domain 2B [Source:HGNC Symbol;Acc:HGNC:25866],ENTREZGENE_ACC
388228,SBK1,SBK1,SH3 domain binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:17699],ENTREZGENE_ACC
333926,PPM1J,PPM1J,"protein phosphatase, Mg2+/Mn2+ dependent 1J [Source:HGNC Symbol;Acc:HGNC:20785]",ENTREZGENE_ACC
56829,ZC3HAV1,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",ENTREZGENE_ACC
91373,UAP1L1,UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28082],ENTREZGENE_ACC
23240,TMEM131L,TMEM131L,transmembrane 131 like [Source:HGNC Symbol;Acc:HGNC:29146],ENTREZGENE_ACC
5535,PPP3R2,PPP3R2,"protein phosphatase 3 regulatory subunit B, beta [Source:HGNC Symbol;Acc:HGNC:9318]",ENTREZGENE_ACC
5310,PKD1,PKD1,"polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]",ENTREZGENE_ACC
100507000,None,None,None,
157680,VPS13B,VPS13B,vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183],ENTREZGENE_ACC
10212,DDX39A,DDX39A,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821],ENTREZGENE_ACC
389072,PLEKHM3,PLEKHM3,pleckstrin homology domain containing M3 [Source:HGNC Symbol;Acc:HGNC:34006],ENTREZGENE_ACC
23741,EID1,EID1,EP300 interacting inhibitor of differentiation 1 [Source:HGNC Symbol;Acc:HGNC:1191],ENTREZGENE_ACC
4584,MUC3A,MUC3A,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",ENTREZGENE_ACC
79366,HMGN5,HMGN5,high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013],ENTREZGENE_ACC
143678,FREY1,FREY1,Frey regulator of sperm-oocyte fusion 1 [Source:HGNC Symbol;Acc:HGNC:37213],ENTREZGENE_ACC
6422,SFRP1,SFRP1,secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776],ENTREZGENE_ACC
5414,SEPTIN4,SEPTIN4,septin 4 [Source:HGNC Symbol;Acc:HGNC:9165],ENTREZGENE_ACC
56341,PRMT8,PRMT8,protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188],ENTREZGENE_ACC
27352,SGSM3,SGSM3,small G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:25228],ENTREZGENE_ACC
55178,MRM3,MRM3,mitochondrial rRNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18485],ENTREZGENE_ACC
196996,GRAMD2A,GRAMD2A,GRAM domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27287],ENTREZGENE_ACC
84196,USP48,USP48,ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533],ENTREZGENE_ACC
11187,PKP3,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],ENTREZGENE_ACC
3488,IGFBP5,IGFBP5,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474],ENTREZGENE_ACC
79613,TANGO6,TANGO6,transport and golgi organization 6 homolog [Source:HGNC Symbol;Acc:HGNC:25749],ENTREZGENE_ACC
4817,NIT1,NIT1,nitrilase 1 [Source:HGNC Symbol;Acc:HGNC:7828],ENTREZGENE_ACC
10905,MAN1A2,MAN1A2,mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822],ENTREZGENE_ACC
7327,UBE2G2,UBE2G2,ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483],ENTREZGENE_ACC
6880,TAF9,TAF9,TATA-box binding protein associated factor 9 [Source:HGNC Symbol;Acc:HGNC:11542],ENTREZGENE_ACC
2319,FLOT2,FLOT2,flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758],ENTREZGENE_ACC
114915,None,None,None,
4036,LRP2,LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],ENTREZGENE_ACC
55764,IFT122,IFT122,intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556],ENTREZGENE_ACC
2264,FGFR4,FGFR4,fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691],ENTREZGENE_ACC
90990,KIFC2,KIFC2,kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530],ENTREZGENE_ACC
399949,HOATZ,HOATZ,HOATZ cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:25061],ENTREZGENE_ACC
727936,GXYLT2,GXYLT2,glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383],ENTREZGENE_ACC
59269,HIVEP3,HIVEP3,HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561],ENTREZGENE_ACC
155382,VPS37D,VPS37D,VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287],ENTREZGENE_ACC
9704,DHX34,DHX34,DExH-box helicase 34 [Source:HGNC Symbol;Acc:HGNC:16719],ENTREZGENE_ACC
6878,TAF6,TAF6,TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540],ENTREZGENE_ACC
93010,B3GNT7,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18811]",ENTREZGENE_ACC
256329,LMNTD2,LMNTD2,lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561],ENTREZGENE_ACC
219578,ZNF804B,ZNF804B,zinc finger protein 804B [Source:HGNC Symbol;Acc:HGNC:21958],ENTREZGENE_ACC
114044,MCM3AP-AS1,MCM3AP-AS1,MCM3AP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16417],ENTREZGENE_ACC
60592,SCOC,SCOC,short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335],ENTREZGENE_ACC
6747,SSR3,SSR3,signal sequence receptor subunit 3 [Source:HGNC Symbol;Acc:HGNC:11325],ENTREZGENE_ACC
193629,LINC00189,LINC00189,long intergenic non-protein coding RNA 189 [Source:HGNC Symbol;Acc:HGNC:18461],ENTREZGENE_ACC
3249,HPN,HPN,hepsin [Source:HGNC Symbol;Acc:HGNC:5155],ENTREZGENE_ACC
9900,SV2A,SV2A,synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566],ENTREZGENE_ACC
23450,SF3B3,SF3B3,splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770],ENTREZGENE_ACC
1386,ATF2,ATF2,activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784],ENTREZGENE_ACC
91775,NXPE3,NXPE3,neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238],ENTREZGENE_ACC
8312,AXIN1,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],ENTREZGENE_ACC
134218,DNAJC21,DNAJC21,DnaJ heat shock protein family (Hsp40) member C21 [Source:HGNC Symbol;Acc:HGNC:27030],ENTREZGENE_ACC
6604,SMARCD3,SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]",ENTREZGENE_ACC
11330,CTRC,CTRC,chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523],ENTREZGENE_ACC
11334,TUSC2,TUSC2,"tumor suppressor 2, mitochondrial calcium regulator [Source:HGNC Symbol;Acc:HGNC:17034]",ENTREZGENE_ACC
400043,LINC02381,LINC02381,long intergenic non-protein coding RNA 2381 [Source:HGNC Symbol;Acc:HGNC:53304],ENTREZGENE_ACC
140458,ASB5,ASB5,ankyrin repeat and SOCS box containing 5 [Source:HGNC Symbol;Acc:HGNC:17180],ENTREZGENE_ACC
23198,PSME4,PSME4,proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635],ENTREZGENE_ACC
9823,ARMCX2,ARMCX2,armadillo repeat containing X-linked 2 [Source:HGNC Symbol;Acc:HGNC:16869],ENTREZGENE_ACC
84964,ALKBH6,ALKBH6,alkB homolog 6 [Source:HGNC Symbol;Acc:HGNC:28243],ENTREZGENE_ACC
3660,IRF2,IRF2,interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117],ENTREZGENE_ACC
5878,RAB5C,RAB5C,"RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]",ENTREZGENE_ACC
9230,RAB11B,RAB11B,"RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]",ENTREZGENE_ACC
6596,HLTF,HLTF,helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099],ENTREZGENE_ACC
7284,TUFM,TUFM,"Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]",ENTREZGENE_ACC
547,KIF1A,KIF1A,kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888],ENTREZGENE_ACC
55529,PIP4P2,PIP4P2,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:25452]",ENTREZGENE_ACC
23481,PES1,PES1,pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848],ENTREZGENE_ACC
5133,PDCD1,PDCD1,programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760],ENTREZGENE_ACC
9972,NUP153,NUP153,nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062],ENTREZGENE_ACC
55565,ZNF821,ZNF821,zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043],ENTREZGENE_ACC
10047,CST8,CST8,cystatin 8 [Source:HGNC Symbol;Acc:HGNC:2480],ENTREZGENE_ACC
2914,GRM4,GRM4,glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596],ENTREZGENE_ACC
8909,ENDOU,ENDOU,"endonuclease, poly(U) specific [Source:HGNC Symbol;Acc:HGNC:14369]",ENTREZGENE_ACC
137695,TMEM68,TMEM68,transmembrane protein 68 [Source:HGNC Symbol;Acc:HGNC:26510],ENTREZGENE_ACC
60314,MYG1,MYG1,MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590],ENTREZGENE_ACC
54187,NANS,NANS,N-acetylneuraminate synthase [Source:HGNC Symbol;Acc:HGNC:19237],ENTREZGENE_ACC
158584,FAAH2,FAAH2,fatty acid amide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:26440],ENTREZGENE_ACC
5069,PAPPA,PAPPA,pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602],ENTREZGENE_ACC
9512,PMPCB,PMPCB,"peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]",ENTREZGENE_ACC
100506431,None,None,None,
91408,BTF3L4,BTF3L4,basic transcription factor 3 like 4 [Source:HGNC Symbol;Acc:HGNC:30547],ENTREZGENE_ACC
119395,CALHM3,CALHM3,calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458],ENTREZGENE_ACC
55183,RIF1,RIF1,replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207],ENTREZGENE_ACC
100505989,SMIM31,SMIM31,small integral membrane protein 31 [Source:HGNC Symbol;Acc:HGNC:49638],ENTREZGENE_ACC
51141,INSIG2,INSIG2,insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452],ENTREZGENE_ACC
100506082,LINC02749,LINC02749,long intergenic non-protein coding RNA 2749 [Source:HGNC Symbol;Acc:HGNC:54268],ENTREZGENE_ACC
100506439,None,None,None,
100506540,MISFA,MISFA,mitochondrial sheath formation associated [Source:HGNC Symbol;Acc:HGNC:44122],ENTREZGENE_ACC
27253,PCDH17,PCDH17,protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267],ENTREZGENE_ACC
7029,TFDP2,TFDP2,transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751],ENTREZGENE_ACC
283038,LOC283038,None,novel transcript,ENTREZGENE_ACC
7113,LOC124905021,TMPRSS2,transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876],ENTREZGENE_ACC
7113,TMPRSS2,TMPRSS2,transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876],ENTREZGENE_ACC
6534,SLC6A7,SLC6A7,solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054],ENTREZGENE_ACC
60673,ATG101,ATG101,autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679],ENTREZGENE_ACC
51330,TNFRSF12A,TNFRSF12A,TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152],ENTREZGENE_ACC
